stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,2,0,0,0,0,0,0,1,0,0,1,0,1,1,4,8,0,0,0,0,2,53,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.56,1.69,0.28,0.56,0,0,0,0,0,0,0,0,0,1.13,6.48,0,2.25,0,0,0,0,13.53,8.74,0,0,0.56,0.28,0,0.85,0.56,0,0,0,0
21Day,0.37,0.74,5.18,0,0.74,0,0,0,0,0,0,0,0,0,0.37,2.22,0.37,2.22,0,0,0,0,1.85,1.85,0,0,1.11,1.11,0,0.74,0,0.74,0,0,0.74
3Month,0.1,0.21,4.78,0,0,0.1,0.42,1.56,0,0,10.4,1.14,0.1,2.39,0.42,2.18,2.29,1.66,0.73,0.1,0.42,0.21,0.1,0,0.52,0,0,0.52,1.14,0,0.1,0,0.1,0.21,1.25
22Month,0,0.27,0.96,0,0,0,0,0.82,0.41,0,7.65,0.68,0,2.05,0.14,0,0.96,1.5,0,0.14,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0.14
