stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0.28,0.56,0,5.07,0.28,0,0,0,0.28,0,0,0
21Day,0.74,0.37,0,0,0.37,0,0,0,0,0,0,0,1.11,0,2.22,0,0,0.37,0.74,0,0,0,0
3Month,0,0,0.42,0,0,0.1,0.1,0,0.1,0.1,0.1,0.31,0.1,0.1,0,0,0.21,0,0.1,1.56,0.1,0.1,4.06
22Month,0.14,0,0,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
