stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,1.69,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0.37,0.74,0,1.48,0,0,0,0,0,0,0
3Month,0.1,0,0.1,0,0.21,0.42,0.1,0.1,0.1,0.1,0.1,0.42,0,0.21,0,0,0,0.21,0,0.1,0.42,0.21
22Month,0,0.14,0.14,0.14,0.14,2.05,0.14,0,0.27,0,0,0.41,0.27,0.14,0.14,0.14,0.14,0.14,0.27,0,0,0
