stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0.28,1.13,0,1.13,0,0,0,25.08,7.89,0,0,0.56,0,0,0,0,0,0,0
21Day,0.74,0,0,1.85,0.37,1.11,0,0,0,0.37,0,1.48,0,0.37,0.37,0,4.07,0,0.37,0,11.47,4.07,0,0,0.37,1.85,0,1.48,0.74,0,0,0
3Month,0.1,0.42,0.1,4.26,0,0,0.1,0.1,0.21,1.35,0.42,0.21,0.83,0.52,2.08,0.31,1.56,0.42,0.21,0.1,0.52,0,0.52,0.1,0,0.1,33.29,0.1,0,0.62,22.99,0.42
22Month,0,0,0,0.14,0,0,0,0,0,0.68,0,0,0.27,0,0,0,0.55,0,0.14,0,0.14,0,0.14,0.14,0.14,0,6.01,0,0,0,0.27,0
