stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,1.69,0.28,0,0,0.56,0.85,0.56,0,0,0.28,0,0,0
21Day,0.37,1.48,0,0,0.37,0,0,0,0,0.37,0,3.33,0,0,1.48,0.37,0,0,0,0.37,0,0.37,0,0,0,0,0,0.37
3Month,0,1.56,0.1,0.1,0,0,0.21,0.21,0,0.42,0.73,0.21,0.42,0.1,0.31,1.04,0.21,0.1,0.1,0,0,0,0.1,0.31,0,0.1,0.1,3.33
22Month,0,0.55,0,0,0,0.14,0,0.41,0,0.96,0.14,0,0,0,0.14,0.55,0.14,0,0,0,0,0,0,0,0,0,0,1.5
