stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0.28,0,0.56,0.85,0,0,0,0,0,0.85,0.85,0,0,0.56,0,0,0.28,0,0,0
21Day,0.37,0,0.37,0.74,0,0,0,0.37,0,0,1.11,0,0,1.48,0.37,0,0,0,0.74,0.37,0,0,0.37,0.37,0,0.37,0,0,0
3Month,0,0,0.52,2.5,1.46,0.31,0,1.46,0.31,0,6.24,0.1,0.31,0.31,0.31,0,1.98,1.04,0.1,0,0.31,0,0,0.21,0.21,0,0.31,0.31,0.42
22Month,0,0.14,0.27,0.14,0,0,0.14,1.37,0,0,3.83,0,0,0,0.41,0.14,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0.14
