stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.13,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,1.97,0.56,0,0,0,0,0,2.82,0,0
21Day,0.37,0,0.74,0.37,0,0,0,0,0,0,0,0.37,0.37,0,2.96,1.11,0.37,0.37,0,0,0,2.22,0,0
3Month,0,0,0.52,0,0.31,0.1,0,0.94,0.31,0.1,0.62,0.21,0.21,0,0,0,0.1,0,0,0.1,0.21,0,0.1,0
22Month,0,0.27,0,0,0.27,0.41,0.27,3.28,0,0.14,0.55,0,0.14,0.14,0,0,0,0.14,0.14,0,0.27,0,0,0.14
