stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.28,0,0,0
21Day,0.37,0,0.37,1.48,0,2.96,1.11,0,0,1.48,0,0.37,0.74,0.37,0.74,0,2.59,0,0,0,0.37,1.11,0,1.11,0,0,0.37,0.37,0,0,0
3Month,0.21,0,0,1.66,0.1,0,0,0.31,0.42,9.47,0.31,0,4.78,0.1,0.1,0.1,0.52,0.21,0.1,0.1,0,0,0.42,0,0.42,0.52,0,0,0.1,1.14,0.21
22Month,0.14,0,0.14,0.27,0,0,0,0.14,0.14,3.14,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0
