stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0.56,0,0,22.83,2.82,0.85,0.28,0,0,0.85,0
21Day,0.37,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0.37,10.73,0.37,0,0.37,0.74,0,0,0
3Month,0,0.31,0,0.94,0,0.1,0.83,0.1,0.21,0.52,0.31,0.1,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0.21
22Month,0,0.55,0.14,0.41,0,0.41,5.19,0,0,0.55,0,0,0.41,0.27,0.27,0,0,0,0.14,0,0.14,0,0,0
