stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,2.59,4.07,0,0,0,0,0.37,0,0,0,0,10.73,0.37,1.85,0,0.37,0,0,0.37,0,0,0.37,1.85,0,0.74,0,0,0,0,0,0
3Month,0,0.31,0.42,9.78,0.62,0,0,6.45,1.46,0,15.81,0.94,0.1,70.21,0.21,0.73,2.18,1.35,0.31,0.1,11.75,0.21,0.1,0,8.84,0.21,0,1.35,1.04,0,0.42,0.52,3.64
22Month,0.27,0,0.55,6.83,0.41,0.14,0.14,11.62,0.55,0.14,126.67,0.41,0.14,8.2,0,0,0.41,1.37,0,3.69,4.65,0,0.14,0,16.12,0,0,0.14,0.96,0.14,0,0,0.27
