stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,7.05,1.41,0.28,0.28,0.28,0,0,0,0
21Day,1.11,0,0.74,0,0,0,0,0,0.74,0,28.12,0.37,0,0,19.98,0,0,0,0.37
3Month,0,0,0,0.21,0,0.21,0.1,0.1,0.1,0.1,2.91,0,0,0,0,0.1,0.62,0.1,0.21
22Month,0,0.14,0,0,0.14,0.41,0,0.14,0,0,0.14,0,0,0,0,0,0.14,0,0
