stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,6,0,1,0,0,0,1,0,0,0,0,0,1,2,24,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,1.41,0.85,0,0,0,0,0,0,0,0,0,0.28,1.69,0.28,0,0,0,0,1.69,0,1.13,0,1.41,0,0,0,2.25,1.41,0.85,0,0
21Day,0.37,0.37,0,1.85,1.11,0.74,0,1.11,0,0,0,4.07,0,0,0.37,8.14,5.18,0.37,0,2.22,0,1.85,0.74,0.37,0.37,0,0,0,0,21.09,49.21,2.22,0,2.96
3Month,0.21,0.83,0,3.22,0,0,0.1,3.85,0,2.18,2.6,0.1,0.73,0.21,6.87,7.7,13.63,1.14,0.1,0.83,0.1,0,0,0.62,0.1,0.1,0.21,0.42,0,0,0,0.31,0.83,3.85
22Month,0,0.55,0.27,0.68,0,0,0,2.19,0.14,6.42,1.37,0.14,0.41,0.14,0.96,7.38,5.06,0,0.27,0.27,0,0.14,0,2.87,0,0,0.14,0.14,0.27,8.47,0,0,0,3.55
