stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,1.13,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,1.11,0.37,0,0,0,0,0,0,0,0,0,1.11,0,0.37,0,0,0,0,0.37,0,0.74,0.37,0,0,0,0,0,0
3Month,0,0.1,0.1,1.25,0,0,0.21,0.94,0,5.51,1.04,0.31,0.62,0,0.31,0.94,0.31,0.52,0,0.1,0,0,0.31,0,0,0.94,0,0,0.21,0.52,0.73
22Month,0,0.96,0,2.46,0,0.14,0.55,3.28,1.37,19.4,1.37,0.14,1.78,0.41,0.41,1.91,1.09,0,0.27,0.14,0.14,0,0,0.14,0,0.27,0.14,0.14,0,0,1.09
