stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,0,14.09,1.41,0,0,0.28,0,0,0.85,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,10.36,1.11,0,0.37,1.48,0.37,0,0,0,0,0,0
3Month,0,0.1,2.08,0,0.1,0.42,0,1.35,0.21,0,0.31,0.21,0,0.31,0.31,0.21,0,0.31,0,0.21,0,0,0.1,6.66,0.1,0.1,0.62,1.14,0.21
22Month,0.14,0.14,1.37,0,0.14,0.41,0.14,6.15,0.14,0.14,0,0,0.27,0.27,0.27,0,0.27,0,0,0,0,0,0,1.78,0.55,0,0.14,0,0.27
