stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,1.97,0,0,0,0,20.01,11.27,0.85,0.85,0,0,9.02,0,0,0
21Day,0,0.37,0,5.18,0.74,1.11,0,0,0,0,0.37,0,0,0,0.37,2.22,0,8.51,0,0,0,0,14.43,6.29,0,1.11,0.37,0,6.66,1.85,0,0
3Month,0.21,0.31,0.1,5.72,0,0,0,0.1,0,0,5.41,0.31,0.1,2.08,0.21,3.43,0.42,6.14,1.25,0,0.31,0.42,0.1,0,0.31,0.21,0.21,0.31,0,0,0.1,0.21
22Month,0,0.41,0.14,2.05,0,0,0.27,0,0.27,0.68,16.67,0.27,0.27,0.96,0,0.55,0.68,3.42,0,0.27,0.27,0,0,0,0.41,0,0,0,0.14,0,0,0.14
