stage,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0.37
3Month,0.52,0.42,0.21,0.1,0.1,0,0,0.1,0,3.85,0.1,0.62,0
