stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25,1.97,0.28,0,1.13,0,0,0,0
21Day,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0.37,0,0.37,0,4.07,0,0,0,0.37,1.85,0,0,0
3Month,0,0.21,0.42,0,0.1,0.1,0.21,0.31,0.1,0.31,0.21,0,0.31,0.62,0.21,0.1,0,0,6.24,0.31,0,0.1,2.18,0.1
22Month,0,0.14,0.27,0,0,0,0.14,0.41,0,0,0,0,0,0.82,0,0.27,0,0,1.23,0.14,0,0,0,0
