stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,1.13,0,0.85,34.67,1.69,0,0,1.13,0,0,0,0,0,0
21Day,0.74,0,0.37,1.11,0,11.47,0.37,0,0,0,0.74,0,1.85,0.74,4.07,29.6,1.48,0.37,0,1.48,1.48,0.37,0,0.37,0,0
3Month,0,0,0,0.62,0,0,0,0.1,0.1,0.31,0,0,0.1,0,0,0.21,0,0,0.1,0.1,0,0.62,0,0,0.1,0.31
22Month,0,0.14,0,0.14,0,0,0,0,0.14,1.64,0,0.68,0,0,0.27,0.27,0,0.14,0,0,0,0.68,0.27,0,0,0
