stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0.28,0,0,5.36,0,0,0,0.56,0,0,0.56,0,0
21Day,0,0,0,0.37,0,0.37,0,0,1.11,0,0,0,0,0,0,0,0,0
3Month,0,0,0.21,0,0.21,0,0.1,0.1,0.42,0,0.1,0,0,0.1,0.42,0,0.62,0.1
22Month,0,0.14,0.14,0,0.55,0,0.14,0,0,0,0,0.14,0,0,0.68,0,0,0
