stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,3,116,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,2.82,0.85,5.07,0.56,2.82,0,0,0,0,0,0,0,0.56,4.23,0,10.99,0.28,0,260.71,27.06,0,2.25,0,5.36,0,0,5.64,0,0.56,0.28,0,0,0
21Day,2.59,0,9.62,0.37,3.7,0,0,0,1.11,0,1.48,0.37,0.74,0.74,1.48,11.47,14.8,0,166.49,17.02,0.37,0.37,0,8.88,4.07,0.37,2.96,0,2.22,0.37,0,0,0.37
3Month,0,0.21,1.56,0,0,0.1,0.1,0,1.56,0.31,0,0.21,0.1,0.62,0.21,1.14,0,0.21,0.31,0.21,0,0.21,0,0.1,0.21,7.49,0,0.1,0,0,0.1,4.06,0
22Month,0,0.27,0.41,0,0,0,0.68,0.82,5.06,0.14,0.14,0.55,0,0.14,0.14,0.68,0.14,0,0.14,0,0.14,0,0.14,0.14,0,1.23,0,0,0,0,0,0,0
