stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,1,1,10,0,0,0,0
72hpf,0.56,0,0,0,0.85,1.69,1.13,1.69,1.13,0,0.28
21Day,0,0,0.74,0.37,1.48,2.22,0.37,6.66,0.37,0.74,0
3Month,0,0.1,0,0,0,0,0,0.21,0,0,0
