stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,7,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0.56,0.28,0,0,0.28,0.85,0.85,0,0,0.56,0.28,0,0
21Day,1.48,0,0.37,0.37,0,0.37,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0.37,0.37,0,0
3Month,0,0.1,0,0.21,0,0,0.1,0.1,0.1,0.21,0,0,0.1,0.1,0.21,0,0,0.1,0.1,0,0,0.94,0.1
22Month,0,0,0,0.14,0,0,0,0.41,0,0.41,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0
