stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
72hpf,0.28,0.28,0,0,0.28,5.36,0.28,0.28,0,0.56,0,0.56,1.13,0.56,0
21Day,0,0,0,0.37,0.74,3.33,0,0.37,0.37,0,0.37,0,1.48,1.85,0
3Month,0,0.1,0.1,0,0,0,0,0,0,0,0.83,0,0.1,0,0.73
