stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,1.85,0,0,0,1.11,0,0.37,1.85,0,0,0,2.22,0,0,0,0,0.74,0.37,0,0,0.37,0,0,0.37,0,0,2.96
3Month,0,0,0,2.5,0.1,0.21,0.1,20.91,1.46,9.26,0.94,0.94,0.31,0.21,7.28,0.94,0.1,0.1,0.42,0,0,0.21,0.1,0,0.42,0.94,0,0.42,2.7,8.53
22Month,0,0.41,0.14,1.37,0,0.14,0.27,34.03,3.14,8.2,3.28,0,0,0,11.89,0.41,0,0,0,0,0,0,0,0,0,0,0.14,0,0,4.51
