stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0.28,0.28,0,0,0,18.88,1.69,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,6.66,0,0,0,0,0,0,0,0,0
3Month,0,0.21,0.1,1.04,0,0.1,0.1,0.31,1.04,0.1,0.1,0.31,0.21,0.42,0.1,0.1,0,0,0.1,0,0.1,0.1,0,0,0.1,0.1
22Month,0.14,0.14,0,0.41,0,0,0,0.82,5.19,0.14,0.55,0.14,0.14,0.96,0,0.14,0.14,0,0.14,0.55,0,0.14,0.14,0.14,0,0.14
