stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16,8,35,2,6,4,0,1,2,0,0,0,0,2,8,10,54,0,0,0,2,15,561,1,0,9,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,1.97,0.85,0.85,0.28,0,0,0,0,0,0.28,0,0,6.48,0.85,3.1,0,0,0,0,9.02,9.86,0.28,0,3.66,0,0.28,1.69,0.28,0.28,0,0,0,0
21Day,1.48,0.37,5.92,1.11,1.48,0,0,0,0,0,0,1.11,0.37,0,1.85,1.48,3.33,0,0,0.74,0,5.18,4.44,0,0.37,2.59,2.59,0.74,1.48,0,0,0.37,0,0,0.37
3Month,0.1,0.31,5.62,0,0,0,0.42,0.62,0,5.1,0.73,0,1.14,0,1.35,0.73,0.62,0.21,0,0.31,0.42,0,0.1,0.62,0.31,0.21,0.73,84.88,0.31,0,0,0,0.62,17.27,0.52
22Month,0,0.27,1.64,0,0,0,0,0.27,0,5.47,0,0,0.68,0,0.27,0.14,1.09,0,1.09,0,0.14,0,0,0.27,0,0,0.14,7.65,0.14,0,0,0,0,0,0
