stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.85,0,0,0,0,1.41,2.82,0,0,0.56,0,0,0.85,0,0,0,0
21Day,0,0.74,5.18,0,0.37,0,0,0,0,0,0,0.74,0,0,0,0,0.74,0.37,4.07,0,0,0.37,0,2.96,1.48,0,0,1.11,0,0,0,0,0,0,0
3Month,0.31,0.31,4.37,0.21,0,0,0.1,1.14,0.42,0,0,11.34,0.21,0,0.94,0.31,0.62,0.1,1.14,0.21,0,0.42,0.62,0.42,0,0.52,0.73,0.1,0.1,0.83,0.73,0.31,1.66,0.1,0.31
22Month,0.27,0.27,2.87,0,0,0.14,0,0.68,0.55,0.82,0,31.02,0.14,0.14,1.37,0,0.55,0,0.41,0.14,0.96,0.14,0.14,0.14,0.14,0.41,0.68,0,0,0,0.55,0,0.27,0,0
