stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Pancreatic_cell
3Month,0.1,0.1,0,0.52,0,0.1,0.1
22Month,0,0.14,0.14,1.37,0.27,0.14,0
