stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0
72hpf,0,0,0,0.28,0,0,0,0.56,4.79,2.25,0,0.56,0,0,0
21Day,0.37,0,1.11,0.37,0,0,0,1.85,2.96,1.11,1.48,0.37,0.37,0,0
3Month,0,0,0.1,0,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.21
22Month,0,0.14,0,0,0.14,0,0,0.14,0,0,0,0,0,0,0
