stage,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,1,0,0,0,1,1,0,0,8,0,0,0
72hpf,0,0,0,0,0,0.56,0.28,3.38,0.56,0.28,0,0
21Day,0,0,0,0,0,0.74,0,0,0,0,0,0
3Month,0.21,0.1,0.42,0.1,0,0,0,0,0,0,0.21,1.04
