stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0.1,0.42,0.1,3.22,0,0.1,0.21,0.21,0,0.1,0,0,0,0.1,0.1,0.1,0.1
22Month,0.27,0,0,4.92,0.14,0,0,0.14,0.14,0,0.14,0,0.14,0,0.14,0,0
