stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,1.41,0.28,0,0,0,0,0,0,0,0,0.28,0.56,0,1.69,0,0,0,4.51,1.13,0,0,0,1.69,0,0,0,0.28,0.28,0,0,0
21Day,0,0.37,0,0.74,0.37,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0,0,0,2.22,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0,1.11
3Month,0.1,0.52,0,2.08,0.1,0,0,0.1,0,18.41,0.52,0.31,0.73,0,1.04,3.12,0.62,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0.1,1.25,0.21,0,0,0.1,9.26,1.46
22Month,0,0.14,0.41,1.37,0,0.68,0.27,1.5,1.09,260.86,0.14,0.27,1.37,0.14,0.55,2.46,2.19,0,5.33,0.27,0.27,0.14,0.14,0.41,1.09,0.14,0.27,0.41,0.14,0.27,0,0,0.27,1.23
