stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Smooth_muscle_cell,T_cell
24hpf,2,6,0,7,0,0,0,0,1,1,0,0,0,13,5,16,0,6,92,0,7,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,6.76,0,0,0,3.66,0.28,0,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.37,0,0
22Month,0,0.96,0.14,0.27,0.14,0.14,0.41,0.14,0,3.42,0.55,0.14,0.14,0,0.27,0.68,0.27,0,0,9.29,0,0.14,0.27
