stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0.28,0,0,2.54,0.56,0,0,2.25,0,0,0,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0.37,0.74,0,0,0.37,0,5.55,0,0,0,1.48,0,1.11,0,0,0,0,0
3Month,0,0,0,0.73,0.1,0.1,0.1,0.62,0,2.6,0.31,0.31,1.14,0.21,0.52,0.31,10.09,0.1,0,0.1,0.21,0.73,0,0.1,0.1,0.1,0.31,34.43,0.1,0,0.1,35.99,0.52
22Month,0,0.14,0.14,0.14,0,0,0,0.68,0,6.42,0,0,0.27,0,0,0.14,7.11,0,0.14,0.14,0,0.96,0,0,0,0,0,2.05,0,0.14,0,0.27,0.27
