stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,1,0,0,2,0,0,0,7,0,0
72hpf,0,0.28,0.28,0,0,0.28,0.56,0,0.28,0.28,0.28,0.28,0.28
21Day,0,0,0.37,0,0.74,0,0.37,1.48,0,0,0.74,0.74,0
3Month,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0,0
