stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.97,0.85,0,0,0,0,0,0,0,3.66,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0,0,0.37,0,0,1.11,0.37,0.74,0,0,1.48,1.11,0,0,0,0.74,0,0,0,2.96,0,0,0
3Month,0.1,0,1.25,0,0.1,0,0.52,0.1,0,0.94,0.52,0,1.56,0.1,0.31,0.52,0.42,0.1,0.52,0.1,0,0,0,0,0,0.1,0.31,0,0.73,0.1,0.21,0.42
22Month,0.96,0.27,1.5,0,0.27,0.14,0.41,2.05,0.55,12.16,0.55,0.14,1.91,0.14,0.27,0.82,0.96,0,0,0,0,0.55,0.27,0.14,0,0,0.55,0.68,69.55,0.14,0,0.41
