stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,43,2,0,0,0,0,1,0,0,0,1,1,1,5,0,0,14,41,3,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,6.48,4.23,14.94,0,0,0,0,0,0,0.28,0.56,8.17,0.56,4.79,8.74,0,131.9,11.84,3.1,0.28,0,4.51,12.68,0,0.56,0,0,0,0,0,0
21Day,1.11,0,0,5.18,4.81,58.46,5.18,0,0.74,0,0,0.74,0.37,0,1.85,1.85,5.55,0,1.48,52.17,2.96,0.74,0.37,0,11.84,5.55,1.48,0.74,0.37,0.37,0.74,0,0,0.37
3Month,0,0,0.1,0.52,0,0,0,0.52,0.1,0,0.62,0.1,0.21,0.21,0.21,0.1,0.31,0,0.1,0.52,0,0.73,0,0,0,0.42,2.08,0,0,0,0,0.21,0.52,0
22Month,0,0,0,0.82,0.14,0,0,0,0.27,0,3.96,0,0.41,0,0.14,0.27,0.82,0.14,0.27,0,0,1.23,0,0.14,0,0.27,3.01,0,0,0,0,0.55,0,0
