stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,8,0,0,0,0,6,54,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,1.13,0.28,1.13,0,0,0,0,0,0,0,0,0,0,0,1.41,10.71,0.28,2.82,0,0.28,0,0,12.4,9.3,0,0,0,1.97,0.28,0.28,3.66,0,0,0
21Day,0.74,0,0.74,5.18,0,2.59,0,1.85,0,0,0,0,0,0,0,2.59,0.74,0,1.48,0.37,3.33,0,0,0,0,4.07,5.55,0,0,0,0.74,1.11,0,0.37,0,0,0.37
3Month,0.42,0.42,1.35,15.5,0.1,0,0.52,0.52,0.1,2.81,2.91,0.21,0,29.54,4.78,0.83,22.57,2.08,4.78,4.58,6.24,1.98,0,1.14,2.6,0.21,0,0.62,0.62,0,0.1,1.66,21.53,0.21,1.04,307.37,3.43
22Month,0.14,0.14,1.09,3.28,0,0,0,0.14,0,0.68,3.14,2.05,0,17.76,0.68,0.96,11.75,0.27,0.68,5.06,1.37,0,0,0.27,0.41,0,0.14,0.14,0.27,0.14,0,0.14,3.69,0.27,0,1.23,0.41
