stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0.37,0,0,1.85,0,0,0.37,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0,0.37
3Month,0.1,0.83,9.88,26.63,1.35,34.64,1.98,0,9.67,3.33,0.21,362.29,0.83,1.77,3.85,2.7,0.62,0.21,2.91,0.31,0.62,0,0.83,0.21,0.1,2.18,1.87,0.1,0.73,1.14,2.6
22Month,0,0.55,12.16,11.34,0.41,41.13,0.96,0.41,10.52,0.55,0.27,246.38,0.14,0.27,2.6,1.09,0,0.82,0.82,0.27,0.14,0,1.09,0.41,0,0.14,1.37,0.41,0.14,0,0.82
