stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0.28,8.46,5.64,0.28,0,0,0,2.54,0.28,0,0,0
21Day,0,0,1.48,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0,1.11,0,0,0,0,2.22,2.22,0.74,0,0,0.74,1.11,0.37,0,0,0.37
3Month,0.21,0.1,17.89,0,0,0.31,1.14,0,4.37,1.56,0.21,1.35,5.1,1.14,0.83,1.46,0.52,0,0.1,1.04,3.33,0.21,1.35,0.31,0.83,30.27,0.42,0.1,0.21,150.51,0.73
22Month,0.14,0,9.16,0,0.14,0.14,0.96,1.09,4.37,0.41,0,1.09,0.68,0,0.82,0.82,0,0.14,0,0,1.23,0.41,2.19,0,0.14,4.37,0.68,0,0,0.27,0.41
