stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,2,0,5,0,0,0,0
72hpf,0,0.28,0,0,0,0,0.85,1.41,1.41,0.56,0,0.28,0
21Day,0.74,3.33,0.37,0,0,0,1.48,1.48,0.37,0,0,0,0
3Month,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.1
22Month,0,0,0,0.82,0.27,0.14,0,0,0,0,0.41,0,0
