stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,1,0,2,3,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,2.54,0.28,0.56,0,0,0.28,0,0,0,0
21Day,0.37,0,1.85,0,0,0,0,0,0,0,0.37,2.59,0,1.11,0.74,0,0,0,0,0.37,0,0,0,0.37
3Month,0,0.21,1.04,0.21,0.31,0.21,0.31,0.73,0.1,0.21,0.42,0.31,0,0,0,0.31,0,0,0.52,0,0.1,0.21,0.21,0.21
22Month,0,0,0.41,0,0,0.14,0.96,0.41,0,0.14,0.14,0.27,0.14,0,0,0.14,0,0.14,0,0.14,0,0,0,0
