stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,8,0,22,0,0,0,0,0,0,0,1,0,0,0,0,3,8,0,46,0,0,0,0,2,43,0,0,0,0,0,0,0,0,7,0,0,0
72hpf,0.85,0.28,0,0.85,0.28,1.13,0,0,0,0,0,0,0,0,0,0,1.41,1.69,0,33.54,0,0,1.69,0,3.1,5.07,0.56,0,0,34.39,0,0.56,0.85,0,5.07,0,0,0
21Day,1.11,0.37,0,2.59,0,0.37,0,0.37,0,0,0,0,0,0,0.37,0.37,0.37,0.74,0.74,30.34,0,0,14.43,0,1.85,0.74,0,0,0,10.36,0.37,0.37,0.74,0.37,0.74,0,0,0.37
3Month,0.1,2.5,0.1,26.21,0,0,0.62,0.1,0.94,2.29,0.21,0,5.3,1.04,0.1,1.56,1.98,54.3,1.87,54.09,2.29,0,13.31,0.42,0.73,0,0.94,0.21,0,0.42,0.83,9.47,0.1,0,0.52,0.62,13.83,1.14
22Month,0.14,1.64,0.14,4.78,0.14,0,0.55,0,0.41,1.23,13.25,0,4.92,0.82,0.27,1.23,0,5.47,1.78,47.69,2.32,0.14,3.55,0,0.68,0,2.05,0.27,1.5,0.14,0.27,8.06,0.27,0,0.27,0.14,0,0.27
