stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0.56,9.58,0,1.97,0,0,0,0,0.56,1.69,0,2.54,0,0,0,0,0,0,0
21Day,0,0,0,5.92,0.37,0.37,0,0.37,0,0,0,0,2.59,0.37,7.4,0,7.03,0,0,0.74,0,0.37,0.37,0,4.07,1.11,0,0.37,0,0,0,0
3Month,0.1,0.31,0.31,4.99,0,0,0.1,13.63,0.52,0,2.81,0.62,26.42,0.31,0.52,0.31,1.77,0.94,0,1.35,0.1,0.1,0,0.52,0,0.73,0.21,0,0.1,0.21,0.73,0.31
22Month,0,0.41,0.68,0.96,0,0,0,3.96,0.55,0.41,3.69,0.14,18.86,0,0,0.27,3.96,0,0.27,1.09,0,0,0,0.41,0,0.27,0,0,0,0,0,0.14
