stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.28,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.21,0.1,1.35,0,0.31,0.1,1.25,0.1,0.1,0.52,0.1,0.42,0.21,0.42,0,0,0.73,0,0.1,2.29,0,8.43,0
22Month,0,0,0.14,0,0.14,0,1.78,0,0,0,0,0,0,0.14,0,0,0.27,0.14,0,0.41,0,0,0
