stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,3.38,0,0,0,0,0,0,0,0,1.13,0.85,0,10.43,0,0.28,0,0,1.13,0.28,0.28,0,0,5.07,0,0,0.28,0,0,0,0,0
21Day,1.11,0,6.29,9.62,5.92,0,0.37,0.37,0,0,0,1.11,5.18,0,1.11,0,2.22,0,0,0,0,1.11,1.11,0.37,0,0,1.85,1.85,0,0.37,0,0.37,0,0,0.74
3Month,0.1,14.04,14.35,91.01,0,1.14,13.31,2.5,0,11.75,4.26,0.1,290.31,0.83,6.03,1.56,4.99,0.62,0,1.14,0.52,0.73,0,4.78,0.52,0,0.31,2.08,2.7,0.21,0,0,2.5,1.87,2.5
22Month,0.27,7.65,8.34,17.35,0,0.14,8.88,1.37,1.5,31.84,0.96,0.96,389.86,0.14,0.82,1.37,2.32,0,1.37,0.27,0,0.41,0,9.57,0.55,0.41,0.14,0.14,1.37,0.14,0.14,0,0,0,1.23
