stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,21,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,1,33,0,0,1,0,0,0,0,0,0
72hpf,58.34,0,1.97,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0.28,1.97,0,2.82,0,0,0,0,22.55,13.53,0.28,0.28,6.2,0,0,2.25,0,0,0
21Day,20.72,0.37,0.37,0,0.74,0,0,0,0,0,0,0.37,0,0.37,0.37,0,1.48,0,3.7,0,0,0.74,0,2.96,2.59,0,0,2.96,1.11,0,0.37,0,0,0
3Month,1.87,0.42,1.56,0,0,0.1,0.1,0.1,0,0,0,2.81,0.73,0,0.73,0,0.42,0.1,0.83,0.31,0,0.31,0.1,0,0.1,0,0,0,0.1,16.33,0.1,0.52,0.42,0.21
22Month,0.27,0.41,1.78,0,0,0,0,0,0.96,0.14,0,13.39,0.27,0.27,0.41,0.27,0.14,0.82,0.96,0,0.27,0.14,0,0,0.14,0,0.14,0,0.14,0.96,0,0,0,0.41
