stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Pancreatic_cell,T_cell
21Day,0,0,0,0.37,0,0,0.74
3Month,0,0,0.1,0,0.1,0,0.31
22Month,0.41,0.14,0,0,0,0.14,0.14
