stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.85,0,0.28,1.13,0.85,0,0.56,0,0.28,0,0
21Day,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0.74,0,2.96,0,0.37,0,0,0,0
3Month,0.1,0.73,0,0.21,0.1,0.1,0,2.08,0,0.1,0,0,0,0,0.1,0,0.1,0,1.98,0.1
22Month,0.14,0.14,0.14,0,0.14,1.37,0,0.41,0,0,0.14,0.14,0,0,0,0,0.27,1.78,0,0
