stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0,0.56,0,0,0,1.41,0.28,0,0.28,0,7.89,0,0,8.17,2.25,0,0,0,0.28,0,0.28,0.28,0,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,4.44,0,0,0,0,1.11,0.74,0,0,0,0.37,0,5.92,0,0,0,0,1.11,0.37,0.74,0,0,0,0,0
3Month,0.21,0.1,1.35,7.07,0,0.94,1.04,2.18,0,448.83,2.5,0.42,5.93,1.98,1.98,1.98,3.64,0.62,1.04,1.25,0.83,1.04,0.1,0.52,0.31,0,0.21,6.45,131.37,0.1,0.1,1.66,84.57,1.77
22Month,0.27,0.82,0.55,1.64,0,0.96,0.27,1.64,0.14,438.92,0.55,0.41,1.5,0.14,0.27,0.55,1.64,0.14,13.25,0.55,0.14,0.55,0,0.27,0.55,2.87,0.14,0.55,31.84,0,0.41,0,0.27,1.78
