stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0.37,0.37,0,0,0,0,3.33,0,0.74,0,0,0,0.37,0,0,0,0,0.74,0,0,2.96
3Month,0.31,0.1,1.25,0,0.21,0.31,1.25,0.42,1.25,0.42,0.52,1.25,0.52,0.52,0,0.1,0.31,0.21,0.83,0,0.21,0.1,30.16
22Month,0,0,0.14,0,0,0.41,2.6,0.27,0.14,0.41,0,0.14,0.55,0,0,0,0,0,0,0,0,0,1.78
