stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,2.82,0,0.28,0,1.69,0,0,0
21Day,0.37,0,0,0,0,0,0,9.25,0,0,0,0.37,0,0,0
3Month,0.21,0,0.1,0.73,0.1,0.1,0.21,1.25,0,0,0,0,1.04,1.77,0.1
22Month,0,0,0.14,1.23,0,0,0,0.27,0,0,0.14,0,1.09,0,0
