stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,14.09,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0.28,0,0,0.85,0,0,0,0,0.28,1.13,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,4.81,0,0,0,0,0,0,0,3.33,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,15.91,0.1,2.29,0.1,0.52,0.1,0.1,0.1,66.26,0,3.64,1.14,0.1,0.94,0.31,0.94,0.94,2.5,0.1,0.1,0.31,0.42,0.1,0,0.1,0.1,0,0.1,0.42,1.35,0.42,0,0.31,0.73,0.31
22Month,0.14,24.46,0,1.5,0,0.96,0,0,0.41,268.24,1.5,18.17,1.09,0.41,1.37,0.14,0.27,2.87,2.05,0,0.68,0.14,0,0.14,0,0.27,0.27,0.82,0,0,0.14,1.5,0.82,0,0,0.96
