stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.97,0.28,0.85,0,0,0,0,0,0,0,0,0.28,1.97,0.28,2.54,0,0,0,0,1.41,0.85,0,0.28,0,2.25,0,0,1.13,0,0,0,0
21Day,1.48,0,0,52.54,0,0.37,0,0,0,0,0.74,0,0.74,0,0.37,33.3,0,2.59,0,0,1.11,0,1.48,1.85,0,0,0,2.96,0,0,0,0.74,0,0,1.11
3Month,0.1,0.1,0.31,119.93,0,0,0.31,0.52,1.35,0,52.01,1.77,0,1.46,0.52,13.11,1.98,1.46,0.52,0.31,0.21,0.21,0.52,0.1,0.21,0,0,0.31,0.94,1.35,0,0,1.66,0.83,1.04
22Month,0,0.41,0.14,13.8,0,0,0.68,0.14,2.87,1.5,328.64,0.41,0,1.09,0.27,8.34,5.19,1.91,0.14,11.48,0,0.14,0,0.14,0.14,0.27,0.41,0,0.14,2.32,0.14,0,0.27,0,0.55
