stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,1.69,0,0,0,0,0,0,0,0,0.28,0.28,0.85,1.69,0,0.28,0,0,8.74,7.61,0,0.28,2.25,0.28,0,0.28,0,0,0,0
21Day,2.22,0,3.7,2.59,0.74,0,0.37,0,0,0,0.37,0,0.37,0,1.48,9.62,0,0,1.11,0,1.11,11.84,0,0,3.33,0.37,0,0.74,0,0,0,0.37
3Month,0,0.42,1.46,0,0.1,0.21,1.04,0.1,8.95,0.31,0,0.73,0.1,1.66,5.1,1.46,0.21,0.1,0.42,0.21,0,0,0.1,0,0.1,0.21,4.68,0,0,0.31,0.83,0.21
22Month,0,0.41,0.96,0,0,0,2.19,0.68,26.65,0.41,0.27,2.05,0.14,0.27,6.15,1.23,0,1.78,0.14,0,0,0,0,0.27,0.14,0,7.24,0,0.14,0,0,0.27
