stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,1.69,0,5.64,0.85,0,0,0.56,0,0,0.28,0,0,0,0.56,0,0.56,3.66,0.85,11.56,0,0,2.25,0,2.25,3.66,0,6.76,0,0,1.13,0,0,0.28,0,0,0
21Day,0.74,0,0,11.47,0.37,0.74,0,0.37,0,0,1.48,0,0,0,5.55,0,0.74,2.22,2.22,12.58,0,0,2.22,0,1.48,0.37,0,5.92,1.11,0,0.37,0,0.37,0,0.37,0,2.59
3Month,0,1.98,0.21,20.6,0.1,0,0.21,0.31,0.1,0.73,8.32,0,3.74,3.85,0.21,0.83,0.83,8.63,6.66,5.82,2.6,0,0.52,0.42,0.21,0.1,0.1,0.31,0.31,0.94,0,0.1,0,0,2.08,0.94,3.64
22Month,0.14,1.91,0.14,4.24,0,0,0.41,0.41,0,0.27,11.62,6.7,8.61,3.83,1.23,0.68,0,1.91,7.38,6.7,0.55,0.41,0,0,0.14,0,0.14,0.14,0.14,0.14,0.14,0.14,0,0.14,0.82,0,2.19
