stage,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,1,1,0,0,0,0,14,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0.85,1.97,0,0.56,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0.37,1.11,0.74,0.37,1.11,0.74
3Month,0.1,0.31,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0
22Month,0.14,0,0.55,0.14,0,0.14,0,0,0.14,0.14,0,0.14,0,0,0,0
