stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.56,0.28,0,0,0,0,0,0,0.28,0.85,0.28,0,0,0,0,0,52.99,1.13,0,0,1.13,0,0,0.85,0,0,0,0,0
21Day,0,0.37,0,0.37,0,0.74,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0,0,18.5,0.74,0,0,1.11,0.37,0,0,0.37,0.37,0,0,0
3Month,0.1,0.73,0.1,0.83,0,0,1.35,0.21,0,7.91,0.62,0.62,0.1,0.52,0.62,1.25,0,0,0.1,0.21,1.14,0,0.62,1.46,0,0,1.35,0,0,0,0.42,0.73,0.52
22Month,0.68,0.27,0,1.09,0,0,0.82,0.41,0.14,12.71,0.41,1.23,0.14,0,0.41,2.87,0.27,0.41,0,0,0.82,0.27,0.68,9.02,0,0,2.46,0.27,0,0,0.14,0,0
