stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,3,0,4,0,0,0,0,0,1,113,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,1.69,0,0.85,0,0,2.82,0,0,1.13,1.13,0,0,0,0,0,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,0,2.59,0.37,0,0.74,0,1.48,0.37,2.22,9.99,0,0,1.48,2.96,0,0,0,0,0,1.11,0,0,0.37,0.37,1.11,0,0,0,0,0,0,0,3.33
3Month,0.1,0.83,0.1,5.2,0,0.21,1.87,0.94,34.43,5.72,160.29,0.62,2.81,0.62,2.08,10.4,1.56,0.52,0,0.83,0.73,0.21,0,0.1,0.21,0,0.83,0.31,1.35,0,0.1,0,0.94,1.56,29.96
22Month,0,0.82,0.14,1.23,0,0,0.55,0,15.71,4.24,18.58,0.68,0.14,0.14,0.55,17.49,0.55,0,0.41,0,0,0.14,0,0,0,0,0.14,0,0.68,0.27,0,0.14,0.14,0,12.16
