stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0.37
3Month,0,0.1,0.52,0.1,0.1,0,0.52,0,0.1,0.42,0.1,4.06,0,0.21,0.1,0.31,0.1,0.1,0.1
22Month,0.14,0.41,0.82,0,0,0.82,1.5,0.14,0.41,0.14,0,5.88,0.14,0,0,0,0.14,0,0
