stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,67,0,0,6,27,0,15,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,1.41,0.28,1.13,0,0,0,0,0,0.85,1.13,0.28,79.2,0,0.56,7.61,5.92,0.28,91.88,0.28,0,0.56,0,0.28,0,0,0
21Day,1.48,0,0.74,0.37,1.11,0,0,0,0,0.37,0,1.11,0.37,60.31,0,2.59,1.48,1.48,0,49.58,2.22,0,0,0.74,0.74,0.37,0,0.37
3Month,0,0,0.42,0,0,0.1,0.1,0.1,0,0,0,0,0.1,5.72,2.6,0,0.1,0,0,0.52,0,0.21,0,0,0,0.21,0.1,0.1
22Month,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0,1.64,0.27,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14
