stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,9,212,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,13.81,7.61,0,14.37,3.1,18.04,0.85,0,0.56,0,0,1.13,0,7.61,30.72,3.38,31.57,0,0.85,0.28,0.56,970.4,654.17,0.56,1.69,32.69,0.28,0,13.25,2.54,1.97,1.69,0,0,0
21Day,6.29,1.48,1.11,24.42,0.74,27.38,6.29,0,0.74,3.33,0.74,7.03,4.44,3.7,11.1,5.55,29.6,0,0,5.92,0.37,434.73,129.87,1.11,0.37,11.84,14.06,0.74,2.59,3.33,6.29,0.37,0,0,6.29
3Month,0,0,0.1,1.25,0,0,0,0.1,0.21,0.94,0.31,0,0.31,0.1,0.1,0.1,0.21,0.1,0,0.21,0,7.18,2.18,0.1,0.1,0,0.1,3.22,0.83,0,0,0,0.1,2.29,0.31
22Month,0,0,0,0.27,0,0,0,0,0.55,2.73,0.14,0,0.27,0,0,0.41,0.27,0,0.41,0,0,7.79,0.14,0,0,0,0,6.97,2.87,0.27,0,0,0,0,0
