stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,4.07,0,0.37,0,0,0,0.37,0,0,0,1.11,0.37,0,0,0,0,0,0,0
3Month,0.52,1.77,0,0.21,0.1,0.21,105.89,0.94,1.35,0.31,0.62,0.52,0.83,0.1,0.42,0.21,0.1,0,0.1,0.31,1.98,0.1,0.52,0.1,0.83
22Month,0.41,0,0,0.14,0,0.14,26.65,0,0.41,0,0,0,0.41,0.14,0.14,0,0,0,0,0,0,0,0,0,0
