stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,2.54,1.41,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0,0,0.28,0,0.56,1.97,0,0,0,0.85,0,0,1.13,0.28,0,0,0
21Day,0.37,0,0,4.07,0.37,0.74,0,0.74,0,0,0,0,0,0,0,0.37,3.7,0,0,0,0,0,0,1.48,1.11,0.37,0,0,0,0,0.37,0.37,0,0,0,0
3Month,0,0.21,0.73,16.54,0.52,0,0,0,1.56,0.62,0,16.95,0.62,0.1,7.49,1.98,0.62,1.04,0.73,0.1,0,0.42,0.31,2.91,0,0.52,0.1,0,0,0.52,4.26,0.21,0,0.1,99.44,0.21
22Month,0,0,0.27,1.5,0.14,0,0.27,0,0.55,0.14,0,14.89,0,0,4.65,0.27,0,0.41,0.27,0,0.41,0.14,0.14,0.14,0,0.41,0,0.27,0,0.27,8.75,0.41,0,0.14,0.27,0.14
